match_frac,trial,latency_ms
0.5,50,444.5222450885922
0.5,51,449.70451993867755
0.5,52,441.2734869401902
0.5,53,449.12424497306347
0.5,54,436.4347660448402
0.5,55,431.2057700008154
0.5,56,436.2503648735583
0.5,57,432.3494751006365
0.5,58,436.6507201921195
0.5,59,434.7880349960178
0.5,60,431.3051791395992
0.5,61,446.7500520404428
0.5,62,433.27549705281854
0.5,63,439.6378439851105
0.5,64,436.11292401328683
0.5,65,429.89904107525945
0.5,66,428.260391112417
0.5,67,438.16936993971467
0.5,68,433.2372408825904
0.5,69,429.22297306358814
0.5,70,428.823514143005
0.5,71,434.7873160149902
0.5,72,445.3630039934069
0.5,73,431.6846220754087
0.5,74,430.568038020283
0.5,75,436.5697600878775
0.5,76,446.7290290631354
0.5,77,446.0498560220003
0.5,78,438.1966828368604
0.5,79,435.2994149085134
0.5,80,438.95764788612723
0.5,81,428.3554640132934
0.5,82,449.846682138741
0.5,83,435.5094810016453
0.5,84,442.16086994856596
0.5,85,436.411407077685
0.5,86,454.59247496910393
0.5,87,441.7759720236063
0.5,88,435.67788205109537
0.5,89,434.913877164945
0.5,90,429.8853629734367
0.5,91,438.3775321766734
0.5,92,437.49472708441317
0.5,93,442.0348529238254
0.5,94,457.4581580236554
0.5,95,436.5751529112458
0.5,96,452.26594782434404
0.5,97,448.36803199723363
0.5,98,433.9055500458926
0.5,99,434.47421002201736
0.75,0,261.2028841394931
0.75,1,225.27406411245465
0.75,2,236.3346191123128
0.75,3,237.9514630883932
0.75,4,224.62901892140508
0.75,5,225.49177682958543
0.75,6,229.4911490753293
0.75,7,230.33566703088582
0.75,8,228.3219408709556
0.75,9,231.99006193317473
0.75,10,230.5643882136792
0.75,11,233.72719413600862
0.75,12,228.2256840262562
0.75,13,235.30474002473056
0.75,14,225.8275079075247
0.75,15,226.98553185909986
0.75,16,226.23242298141122
0.75,17,225.41608102619648
0.75,18,229.68567814677954
0.75,19,224.70810799859464
0.75,20,238.85791702196002
0.75,21,231.7111159209162
0.75,22,224.808300845325
0.75,23,228.6648720037192
0.75,24,224.15743209421635
0.75,25,229.80747208930552
0.75,26,231.52868309989572
0.75,27,229.75003090687096
0.75,28,229.1205539368093
0.75,29,236.8730080779642
0.75,30,225.29700794257224
0.75,31,228.76890399493277
0.75,32,222.65785420313478
0.75,33,230.91088701039553
0.75,34,219.8943628463894
0.75,35,229.21405895613134
0.75,36,229.55897310748696
0.75,37,229.60876487195492
0.75,38,241.45915010012686
0.75,39,234.1103961225599
0.75,40,228.960569947958
0.75,41,238.31608914770186
0.75,42,224.61943607777357
0.75,43,232.4011519085616
0.75,44,227.9186579398811
0.75,45,223.8337032031268
0.75,46,227.99161914736032
0.75,47,229.87977578304708
0.75,48,226.8762830644846
0.75,49,230.45469191856682
0.75,50,226.90410818904638
