candidate,trial_batch,ttft_mean_ms,ttft_stdev_ms,predicted,confidence,ground_truth_match,tenant,timestamp,secret_category
SK-UNQN,5,74.59013061597943,3.0713060159078402,miss,0.2,False,attacker_after,1786410534.5474675,predictable_prefix
SK-UNQN,10,70.75219803955406,0.4985607201196134,hit,1.0,True,attacker_after,1786410535.2558796,predictable_prefix
SK-SSDI,1,81.04463387280703,0.0,miss,0.0,N/A_before,attacker_before,1786410536.0610156,predictable_prefix
SK-SSDI,3,72.53602799028158,0.6820598180339473,miss,0.0,N/A_before,attacker_before,1786410536.2789497,predictable_prefix
SK-SSDI,5,74.11180078051984,2.3412129348242887,miss,0.0,N/A_before,attacker_before,1786410536.6499665,predictable_prefix
SK-SSDI,10,71.96713255252689,0.7093568309051006,miss,0.0,N/A_before,attacker_before,1786410537.3704236,predictable_prefix
SK-SSDI,1,71.77660497836769,0.0,miss,0.0,False,attacker_after,1786410537.5137682,predictable_prefix
SK-SSDI,3,71.2937427063783,0.10249040850760735,miss,0.0,False,attacker_after,1786410537.7279973,predictable_prefix
SK-SSDI,5,71.88237174414098,0.8679530965292789,miss,0.0,False,attacker_after,1786410538.0878344,predictable_prefix
SK-SSDI,10,73.04742750711739,1.6243909209305647,miss,0.0,False,attacker_after,1786410538.8192692,predictable_prefix
SK-FH4S,1,80.34077403135598,0.0,miss,0.0,N/A_before,attacker_before,1786410539.6249232,predictable_prefix
SK-FH4S,3,71.58512071085472,0.3127371016215154,miss,0.0,N/A_before,attacker_before,1786410539.8402097,predictable_prefix
SK-FH4S,5,71.50531359948218,0.3818171062702617,miss,0.0,N/A_before,attacker_before,1786410540.1982768,predictable_prefix
SK-FH4S,10,72.76650248095393,1.8383477821515033,miss,0.0,N/A_before,attacker_before,1786410540.9267242,predictable_prefix
SK-FH4S,1,72.79960415326059,0.0,miss,0.0,False,attacker_after,1786410541.071593,predictable_prefix
SK-FH4S,3,72.11430269914369,0.6367488697333119,miss,0.0,False,attacker_after,1786410541.2883918,predictable_prefix
SK-FH4S,5,72.90155002847314,0.7454830105652875,miss,0.0,False,attacker_after,1786410541.6536648,predictable_prefix
SK-FH4S,10,72.45150352828205,0.7016512147119602,miss,0.0,False,attacker_after,1786410542.379424,predictable_prefix
60ae2d6e59a04a918076b77afca19158,1,80.68189607001841,0.0,miss,0.0,N/A_before,attacker_before,1786410543.2057083,high_entropy
60ae2d6e59a04a918076b77afca19158,3,73.41189038318892,0.8883458287682647,miss,0.0,N/A_before,attacker_before,1786410543.4264581,high_entropy
60ae2d6e59a04a918076b77afca19158,5,72.9258923791349,0.9726312396121356,miss,0.0,N/A_before,attacker_before,1786410543.7918115,high_entropy
60ae2d6e59a04a918076b77afca19158,10,72.65616587828845,0.7269143843023671,miss,0.0,N/A_before,attacker_before,1786410544.519274,high_entropy
60ae2d6e59a04a918076b77afca19158,1,72.92363699525595,0.0,miss,0.0,False,attacker_after,1786410544.663955,high_entropy
60ae2d6e59a04a918076b77afca19158,3,71.65716425515711,0.10720216507550841,miss,0.0,False,attacker_after,1786410544.8792777,high_entropy
60ae2d6e59a04a918076b77afca19158,5,73.98633793927729,2.926483151059693,miss,0.0,False,attacker_after,1786410545.2498279,high_entropy
60ae2d6e59a04a918076b77afca19158,10,72.2713636001572,0.37864684139413524,miss,0.0,False,attacker_after,1786410545.974129,high_entropy
d94394c12b7443b5ae91331a031dbdd0,1,80.2983099129051,0.0,miss,0.0,N/A_before,attacker_before,1786410546.7890875,high_entropy
d94394c12b7443b5ae91331a031dbdd0,3,71.95309650463362,0.2290730421121903,miss,0.0,N/A_before,attacker_before,1786410547.0052743,high_entropy
